Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-12 01:00:00,2.2,180.0,159.2966100138706,-21.826073247276426,2000
2017-01-12 02:00:00,1.2,250.0,158.95832067038768,-24.904254537207446,1863
2017-01-12 03:00:00,0.2,0.0,153.88398051814377,-22.33734576324883,1506
2017-01-12 04:00:00,1.1,160.0,146.04958075057414,-26.058528541561028,1230
2017-01-12 05:00:00,2.2,250.0,150.10905287236923,-29.998600592672737,1242
2017-01-12 06:00:00,1.7,250.0,150.81997171157903,-32.09176386982583,1383
2017-01-12 07:00:00,3.1,270.0,157.659971711579,-32.09176386982584,1609
2017-01-12 08:00:00,3.3,320.0,164.43439775347443,-20.62313048119189,1635
2017-01-12 09:00:00,3.9,320.0,170.21913579347344,-9.86786649980144,1746
2017-01-12 10:00:00,3.0,290.0,177.48781609796123,-6.174048951884214,1850
2017-01-12 11:00:00,3.5,290.0,183.9279431198637,-1.8645951459807857,1954
2017-01-12 12:00:00,4.0,270.0,189.5324201893076,1.3367133955474793,1793
2017-01-12 13:00:00,4.3,290.0,194.6067603415515,10.078748258951583,1869
2017-01-12 14:00:00,4.4,290.0,199.41149145480028,15.496347329230183,1774
2017-01-12 15:00:00,5.7,290.0,202.85398403332715,22.514600670272912,1994
2017-01-12 16:00:00,4.2,270.0,203.42754226356126,17.220128851591554,2000
2017-01-12 17:00:00,4.9,270.0,210.26754226356127,17.22012885159155,2000
2017-01-12 18:00:00,2.9,270.0,212.78754226356128,17.22012885159155,2000
2017-01-12 19:00:00,3.7,270.0,218.18754226356128,17.22012885159155,2000
2017-01-12 20:00:00,3.9,270.0,223.22754226356128,17.22012885159155,2000
2017-01-12 21:00:00,3.9,270.0,228.81030867648812,20.29831014152257,2000
2017-01-12 22:00:00,2.3,270.0,233.36912589817592,21.65270990909222,2000
2017-01-12 23:00:00,3.8,290.0,239.79662342435154,28.670963250134953,2000
2017-01-13 00:00:00,2.7,270.0,244.27687943341772,33.06763050039088,2000
2017-01-13 01:00:00,2.0,250.0,251.04266630307623,38.52508546844606,2000
